Date,Product_ID,Product,Category,Store,City,Price,Discount,Promotion,Inventory,Sales
2023-01-01,P001,Laptop,Electronics,S01,Pune,51664,0,0,125,6
2023-01-02,P001,Laptop,Electronics,S01,Pune,55837,0,0,121,4
2023-01-03,P001,Laptop,Electronics,S01,Pune,53257,0,0,118,3
2023-01-04,P001,Laptop,Electronics,S01,Pune,53285,0,0,115,3
2023-01-05,P001,Laptop,Electronics,S01,Pune,40087,15,1,108,7
2023-01-06,P001,Laptop,Electronics,S01,Pune,57449,0,0,105,3
2023-01-07,P001,Laptop,Electronics,S01,Pune,51029,5,0,100,5
2023-01-08,P001,Laptop,Electronics,S01,Pune,50244,5,0,96,4
2023-01-09,P001,Laptop,Electronics,S01,Pune,45144,15,1,89,7
2023-01-10,P001,Laptop,Electronics,S01,Pune,59544,5,0,85,4
2023-01-11,P001,Laptop,Electronics,S01,Pune,55366,0,0,82,3
2023-01-12,P001,Laptop,Electronics,S01,Pune,50539,5,0,78,4
2023-01-13,P001,Laptop,Electronics,S01,Pune,53079,5,0,75,3
2023-01-14,P001,Laptop,Electronics,S01,Pune,41548,20,1,63,12
2023-01-15,P001,Laptop,Electronics,S01,Pune,53399,0,0,58,5
2023-01-16,P001,Laptop,Electronics,S01,Pune,51595,5,0,54,4
2023-01-17,P001,Laptop,Electronics,S01,Pune,40963,20,1,46,8
2023-01-18,P001,Laptop,Electronics,S01,Pune,60167,5,0,42,4
2023-01-19,P001,Laptop,Electronics,S01,Pune,55655,0,0,38,4
2023-01-20,P001,Laptop,Electronics,S01,Pune,44176,15,1,33,5
2023-01-21,P001,Laptop,Electronics,S01,Pune,57321,0,0,28,5
2023-01-22,P001,Laptop,Electronics,S01,Pune,50959,0,0,143,5
2023-01-23,P001,Laptop,Electronics,S01,Pune,49845,5,0,140,3
2023-01-24,P001,Laptop,Electronics,S01,Pune,52125,5,0,137,3
2023-01-25,P001,Laptop,Electronics,S01,Pune,47794,5,0,134,3
